"GeneID","GeneName","Mean_Exp","Mean_Ctrl","Log2FC","T_statistic","P_value","D_value","Significant"
"3396","3396",469.25,208.666666666667,1.16533042736506,1.77330300426876,0.142687553003805,1.21407965414306,"Not Significant"
"3397","3397",436.125,259,0.749534267669262,1.11668921461522,0.320819357605032,0.762272874917051,"Not Significant"
"3398","3398",14.5,22.5,-0.600392541290762,-0.636110414496556,0.564816439097081,-0.48480109717732,"Not Significant"
"3399","3399",5530.25,1626.83333333333,1.76465255409206,2.69593882200678,0.0430414366554702,1.95465630879827,"Not Significant"
"3400","3400",410.625,136.166666666667,1.58540067689488,1.87848057079977,0.150096928078167,1.21905712151621,"Not Significant"
"3401","3401",315.25,103.166666666667,1.60217179075338,2.3113767125256,0.0688117746303111,1.66034753246965,"Not Significant"
"3402","3402",601.625,227.333333333333,1.40011903726952,1.30657207381124,0.274828653712177,0.8520323441439,"Not Significant"
"3403","3403",17.875,5.33333333333333,1.57543972660265,0.82288058544597,0.44803466335868,0.565944459683708,"Not Significant"
"3404","3404",1001.125,357,1.48503098163204,3.62529029235644,0.0158002689941306,2.54501395852978,"Positive Hit"
"C0286","C0286",242.5,100.333333333333,1.26481294935991,2.42698563119197,0.060841641100567,1.69040877650477,"Not Significant"
"C0287","C0287",1109.25,587.166666666667,0.916587641908545,1.4488951475682,0.209136445616351,1.01410908342841,"Not Significant"
"C0288","C0288",709.625,278.333333333333,1.34710070080141,1.66220465002789,0.160730790177515,1.15464695652842,"Not Significant"
"C0289","C0289",496.625,102.5,2.26542819859202,1.61141890317918,0.19124638170883,1.06075345460073,"Not Significant"
"C0290","C0290",627.5,169.666666666667,1.88073143514166,2.20797465240668,0.0970339540784306,1.46214898166818,"Not Significant"
"C0291","C0291",1007.375,367.5,1.45229573149896,2.33469069576019,0.0668561973896112,1.67374841180046,"Not Significant"
"C0292","C0292",505.125,119,2.07645933206794,2.67201369772596,0.0558000793831575,1.78691870390998,"Not Significant"
"C0293","C0293",506.625,211.5,1.25630028089926,2.49212861456331,0.0551758282816162,1.77231390534262,"Not Significant"
"C0315","C0315",208,72.5,1.50768678724452,2.42423710456526,0.064397262157812,1.65331046836883,"Not Significant"
"C0317","C0317",2058.625,1003.5,1.03590412290584,3.83224188663331,0.0227795925087918,3.06920610471931,"Positive Hit"
"C0319","C0319",278.625,143.833333333333,0.949099674965875,2.01340466494326,0.108718031828642,1.35998597546603,"Not Significant"
"C0320","C0320",182.375,99.3333333333333,0.869995979634844,1.45985076089918,0.224021932211407,1.14964389057851,"Not Significant"
"C0354","C0354",756.375,272.5,1.46946696743439,2.07951775229946,0.106043734369957,1.39368805076561,"Not Significant"
"C0355","C0355",807.25,244.5,1.71907857781139,2.37149392763736,0.0640582804931317,1.72381299198422,"Not Significant"
"C0356","C0356",7.75,-3.16666666666667,NA,1.30356325360685,0.266886622459269,0.947576754011363,"Not Significant"
